Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,CP1_Small,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,187.706,114.808,0,top
C2,CP1_Small,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,184.291,114.808,180,top
C3,CP1_Small,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,181.61,113.143,90,top
C4,CP1_Small,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,181.61,109.22,270,top
C5,10u,C_0805_2012Metric,186.182,127.0785,90,top
C6,10u,C_0805_2012Metric,199.898,131.826,270,top
C7,1u,C_0402_1005Metric,189.992,115.57,90,top
C8,1u,C_0402_1005Metric,189.992,117.602,90,top
C9,1u,C_0402_1005Metric,198.12,106.426,0,top
C10,1u,C_0402_1005Metric,203.454,125.73,0,top
C11,1u,C_0402_1005Metric,210.312,116.84,0,top
C12,1u,C_0402_1005Metric,212.344,114.808,0,top
Q1,BSS138,SOT-23,194.31,102.87,0,top
Q2,BSS138,SOT-23,197.866,102.87,0,top
R1,10k,R_0402_1005Metric,187.96,109.751,90,top
R2,DNI,R_0402_1005Metric,196.69,90.372,90,top
R3,DNI,R_0402_1005Metric,210.312,98.298,135,top
R4,1M,R_0402_1005Metric,201.422,131.064,90,top
R5,1M,R_0402_1005Metric,192.024,103.632,270,top
R6,DNI,R_0402_1005Metric,173.578,112.616,0,top
R7,DNI,R_0402_1005Metric,191.031,132.842,180,top
R8,100,R_0402_1005Metric,194.056,100.584,0,top
R9,DNI,R_0402_1005Metric,179.997053,94.145053,225,top
R10,DNI,R_0402_1005Metric,181.864,123.698,55,top
R11,DNI,R_0402_1005Metric,211.197053,123.537053,225,top
R12,DNI,R_0805_2012Metric,187.96,132.842,0,top
R14,1M,R_0402_1005Metric,200.152,103.632,270,top
R15,10k,R_0402_1005Metric,192.786,120.65,0,top
R16,100,R_0402_1005Metric,200.152,101.6,90,top
R17,DNI,R_0402_1005Metric,195.834,121.92,0,top
R18,10k,R_0402_1005Metric,203.454,123.444,180,top
R19,10k,R_0402_1005Metric,203.454,124.46,180,top
R20,10k,R_0402_1005Metric,197.358,117.094,0,top
R21,10k,R_0402_1005Metric,200.66,113.792,180,top
R22,10k,R_0402_1005Metric,188.214,106.426,270,top
R23,0,R_0402_1005Metric,200.66,109.728,0,top
R24,DNI,R_0402_1005Metric,200.66,110.744,0,top
R25,0,R_0402_1005Metric,195.834,118.11,90,top
R26,DNI,R_0402_1005Metric,200.637,111.76,0,top
R27,0,R_0402_1005Metric,192.024,119.126,90,top
R28,DNI,R_0402_1005Metric,200.66,112.776,0,top
R29,0,R_0402_1005Metric,192.024,117.094,90,top
R30,0,R_0402_1005Metric,189.738,105.918,270,top
R31,0,R_0402_1005Metric,200.66,108.712,0,top
R32,0,R_0402_1005Metric,194.818,118.11,90,top
R33,0,R_0402_1005Metric,191.516,101.6,270,top
U1,TLV1117-33,SOT-223,191.008,125.73,270,top
U2,STM32F030C8Tx,LQFP-48_7x7mm_P0.5mm,193.802,110.744,0,top
U3,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,207.264,111.76,0,top
U4,CAT24C256,SOIC-8_3.9x4.9mm_P1.27mm,198.628,125.222,0,top
Y1,32.768k Crystal,Crystal_SMD_3215-2Pin_3.2x1.5mm,185.948,116.84,180,top