Designator,Mid X,Mid Y,Layer,Rotation
C1,180.848,-91.44,top,90
C2,182.626,-91.44,top,90
C3,159.401282,-101.743282,top,135
C4,176.784,-101.346,top,270
C5,180.848,-101.346,top,90
C6,168.148,-99.568,top,90
C7,178.928999,-104.902,top,0
C8,163.686718,-114.918718,top,315
C9,143.256,-100.33,top,270
C10,146.812,-87.884,top,0
C11,184.404,-110.857,top,270
C12,162.447,-120.65,top,0
C13,174.117,-67.3722,top,270
C14,172.7708,-62.8904,top,180
Q1,150.114,-100.33,top,90
Q2,146.304,-100.33,top,90
R1,166.6748,-124.7648,top,270
R2,168.007,-63.119,top,0
R3,204.1398,-70.5104,top,270
R4,203.5048,-124.7902,top,0
R5,162.2298,-79.7052,top,180
R6,162.3314,-84.963,top,180
R7,162.2438,-77.1652,top,0
R8,162.2692,-82.0674,top,0
R9,162.3314,-87.1982,top,0
R10,162.3454,-92.3798,top,0
R11,162.433,-89.8398,top,180
R12,162.34,-95.08,top,180
R13,178.04,-77.1398,top,180
R14,178.0908,-82.2198,top,180
R15,178.1048,-87.2236,top,180
R16,178.167,-92.4052,top,180
R17,166.6748,-128.397,top,90
R18,202.4126,-70.471,top,90
R19,202.5904,-127.7112,top,90
R20,167.1066,-66.929,top,90
R21,168.797,-69.85,top,0
R22,190.105,-82.296,top,180
R23,190.105,-80.518,top,180
R24,190.105,-78.74,top,180
R25,190.133,-76.962,top,180
R26,179.183,-108.458,top,0
R27,179.211,-106.68,top,180
R28,166.37,-99.568,top,90
R29,176.894718,-115.459282,top,225
R30,200.152,-77.724,top,180
R31,155.448,-110.349,top,90
R32,145.288,-115.683,top,90
R33,157.226,-110.631,top,90
R34,144.413,-112.776,top,0
R36,143.620718,-85.995282,top,225
R37,200.152,-80.264,top,180
R38,200.152,-82.804,top,180
R39,200.152,-85.344,top,180
R42,182.626,-110.885,top,270
R43,152.513,-91.44,top,180
R44,152.513,-93.218,top,180
R45,152.259,-106.68,top,180
R46,152.259,-105.156,top,180
R47,152.513,-96.774,top,180
R48,152.513,-94.996,top,180
R49,152.259,-109.728,top,180
R50,152.259,-108.204,top,180
U6,171.0514,-67.0662,top,0
U7,184.15,-79.756,top,180
U8,170,-108.54,top,270
U9,146.558,-106.934,top,180
U10,146.558,-93.726,top,180
U11,183.896,-117.602,top,0
U12,151.638,-117.094,top,180
Y2,178.816,-101.366,top,90