Comment,Designator,Footprint,
1u,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
6p,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
8p,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
8p,C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C6,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
6p,C7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C8,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C9,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C11,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C12,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C13,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
4.7u,C14,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C15,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.01u,C16,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C17,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C18,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10u,C19,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C25,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C26,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C27,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1u,C28,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
GREEN LED,D1,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,
RED_LED,D3,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,
Fuse-2410FA,F1,2410FA,
Conn_01x08_Male,J1,PinHeader_2x04_P2.54mm_Vertical,
Barrel_Jack_Switch,J2,BarrelJack_Wuerth_6941xx301002,
terminal_custom_12pin,J3,1984714,
Conn_01x08_Male,J4,PinHeader_1x08_P2.54mm_Vertical,
10k,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1k,R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1k,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1k,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1k,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R13,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R14,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R15,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R16,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R17,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R18,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R19,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R20,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R21,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
DNI,R23,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
DNI,R24,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
DNI,R25,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
DNI,R26,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0,R27,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0,R28,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0,R29,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0,R30,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0,R31,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
DNI,R32,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R33,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R34,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
28k,R35,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R36,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1k,R37,R_0402_1005Metric,
1k,R39,R_0402_1005Metric,
receiver_433MHz,U1,PinHeader_1x05_P2.54mm_Vertical,
TXS0104EDR,U2,SOIC-14_3.9x8.7mm_P1.27mm,
receiver_433MHz,U3,PinHeader_1x05_P2.54mm_Vertical,
receiver_433MHz,U4,PinHeader_1x05_P2.54mm_Vertical,
receiver_433MHz,U5,PinHeader_1x05_P2.54mm_Vertical,
PS2501-4,U6,PS2501-4XSM,
ECS-.327-9-1210-TR,U7,XTAL_ECS-.327-9-1210-TR,
ECS-480-8-36-RWN-TR,U8,XTAL_ECS-480-8-36-RWN-TR,
SN74HCT245PW,U9,TSSOP-20_4.4x6.5mm_P0.65mm,
STM32L431RCTx,U10,LQFP-64_10x10mm_P0.5mm,
LP5907MFX-3.3,U11,SOT-23-5,
USB-C-31-M-12,U12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
XR21B1411,U13,XR21B1411,
NCP361,U14,NCP361,